รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000411,วัสดุใช้ไป,ปลั๊กไฟ แบบตัวผู้,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,10,,0,0,,,TRUE,
P230-000412,วัสดุใช้ไป,ลูกเซอร์กิต,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,95,,0,0,,,TRUE,
P230-000413,วัสดุใช้ไป,สายลำโพง แบบใส ขนาดใหญ่,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เมตร,10,,0,0,,,TRUE,
P230-000414,วัสดุใช้ไป,สายไมค์ แบบพร้อมแจ๊ค,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,155,,0,0,,,TRUE,
P230-000415,วัสดุใช้ไป,กริ่ง แบบไร้สาย มีรีโมท,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,260,,0,0,,,TRUE,
P230-000416,วัสดุใช้ไป,เพรสเซอร์สวิทช์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,"1,050.00",,0,0,,,TRUE,
P230-000417,วัสดุใช้ไป,แบตเตอรี่ สำหรับเครื่อง DRX,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ก้อน,"39,100.00",,0,0,,,TRUE,
P230-000418,วัสดุใช้ไป,สายโทรศัพท์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,620,,0,0,,,TRUE,
P230-000419,วัสดุใช้ไป,ยกเลิก ปลั๊กไฟ แบบฝัง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,25,,0,0,,,FALSE,
P230-000420,วัสดุใช้ไป,สาย VCT,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,"1,590.00",,0,0,,,TRUE,
